timestamp,state,gpu_util,mem_util,mem_used_mb,mem_total_mb,pythonw_parent_used_mb,pythonw_child_used_mb
2026-09-06T01:37:51.918790+00:00,game_running,100.0,29.0,9729.0,10240.0,0.0,0.0
2026-09-06T01:37:53.053914+00:00,game_running,100.0,27.0,9712.0,10240.0,0.0,0.0
2026-09-06T01:37:54.183543+00:00,game_running,100.0,29.0,9710.0,10240.0,0.0,0.0
2026-09-06T01:37:55.300206+00:00,game_running,100.0,29.0,9710.0,10240.0,0.0,0.0
2026-09-06T01:37:56.421527+00:00,game_running,100.0,28.0,9702.0,10240.0,0.0,0.0
2026-09-06T01:37:57.553197+00:00,game_running,100.0,28.0,9700.0,10240.0,0.0,0.0
2026-09-06T01:37:58.686614+00:00,game_running,100.0,28.0,9700.0,10240.0,0.0,0.0
2026-09-06T01:37:59.805670+00:00,game_running,100.0,29.0,9700.0,10240.0,0.0,0.0
2026-09-06T01:38:00.922270+00:00,game_running,99.0,26.0,9700.0,10240.0,0.0,0.0
2026-09-06T01:38:02.038962+00:00,game_running,99.0,25.0,9700.0,10240.0,0.0,0.0
2026-09-06T01:38:03.157933+00:00,game_running,99.0,25.0,9699.0,10240.0,0.0,0.0
2026-09-06T01:38:04.293453+00:00,game_running,99.0,26.0,9708.0,10240.0,0.0,0.0
2026-09-06T01:38:05.424311+00:00,game_running,99.0,28.0,9708.0,10240.0,0.0,0.0
2026-09-06T01:38:06.557487+00:00,game_running,100.0,24.0,9701.0,10240.0,0.0,0.0
2026-09-06T01:38:07.687185+00:00,game_running,100.0,27.0,9709.0,10240.0,0.0,0.0
2026-09-06T01:38:08.802897+00:00,game_running,99.0,27.0,9709.0,10240.0,0.0,0.0
2026-09-06T01:38:09.933145+00:00,game_running,99.0,26.0,9700.0,10240.0,0.0,0.0
2026-09-06T01:38:11.062493+00:00,game_running,99.0,25.0,9708.0,10240.0,0.0,0.0
2026-09-06T01:38:12.193297+00:00,game_running,99.0,25.0,9700.0,10240.0,0.0,0.0
2026-09-06T01:38:13.346170+00:00,game_running,99.0,29.0,9697.0,10240.0,0.0,0.0
2026-09-06T01:38:14.463695+00:00,game_running,99.0,27.0,9697.0,10240.0,0.0,0.0
2026-09-06T01:38:15.584044+00:00,game_running,99.0,28.0,9696.0,10240.0,0.0,0.0
2026-09-06T01:38:16.705573+00:00,game_running,100.0,30.0,9695.0,10240.0,0.0,0.0
2026-09-06T01:38:17.827037+00:00,game_running,99.0,27.0,9683.0,10240.0,0.0,0.0
2026-09-06T01:38:18.946898+00:00,game_running,100.0,27.0,9683.0,10240.0,0.0,0.0
2026-09-06T01:38:20.062571+00:00,game_running,99.0,25.0,9692.0,10240.0,0.0,0.0
2026-09-06T01:38:21.200321+00:00,game_running,99.0,28.0,9691.0,10240.0,0.0,0.0
2026-09-06T01:38:22.365129+00:00,game_running,99.0,25.0,9661.0,10240.0,0.0,0.0
2026-09-06T01:38:23.504248+00:00,game_running,99.0,26.0,9680.0,10240.0,0.0,0.0
2026-09-06T01:38:24.640468+00:00,game_running,99.0,27.0,9680.0,10240.0,0.0,0.0
2026-09-06T01:38:25.831840+00:00,game_running,99.0,31.0,9669.0,10240.0,0.0,0.0
2026-09-06T01:38:26.963147+00:00,game_running,99.0,28.0,9701.0,10240.0,0.0,0.0
2026-09-06T01:38:28.099054+00:00,game_running,100.0,31.0,9701.0,10240.0,0.0,0.0
2026-09-06T01:38:29.233442+00:00,game_running,100.0,30.0,9692.0,10240.0,0.0,0.0
2026-09-06T01:38:30.353943+00:00,game_running,100.0,30.0,9693.0,10240.0,0.0,0.0
2026-09-06T01:38:31.476443+00:00,game_running,100.0,30.0,9710.0,10240.0,0.0,0.0
2026-09-06T01:38:32.596895+00:00,game_running,99.0,30.0,9710.0,10240.0,0.0,0.0
2026-09-06T01:38:33.719088+00:00,game_running,99.0,29.0,9693.0,10240.0,0.0,0.0
2026-09-06T01:38:34.836033+00:00,game_running,99.0,32.0,9693.0,10240.0,0.0,0.0
2026-09-06T01:38:35.958338+00:00,game_running,99.0,29.0,9693.0,10240.0,0.0,0.0
2026-09-06T01:38:37.079417+00:00,game_running,99.0,31.0,9691.0,10240.0,0.0,0.0
2026-09-06T01:38:38.197382+00:00,game_running,99.0,29.0,9689.0,10240.0,0.0,0.0
2026-09-06T01:38:39.317900+00:00,game_running,99.0,29.0,9657.0,10240.0,0.0,0.0
2026-09-06T01:38:40.440668+00:00,game_running,99.0,26.0,9661.0,10240.0,0.0,0.0
2026-09-06T01:38:41.575573+00:00,game_running,99.0,23.0,9661.0,10240.0,0.0,0.0
2026-09-06T01:38:42.694798+00:00,game_running,99.0,25.0,9660.0,10240.0,0.0,0.0
2026-09-06T01:38:43.815373+00:00,game_running,100.0,28.0,9678.0,10240.0,0.0,0.0
2026-09-06T01:38:44.971717+00:00,game_running,99.0,30.0,9677.0,10240.0,0.0,0.0
2026-09-06T01:38:46.102321+00:00,game_running,99.0,29.0,9674.0,10240.0,0.0,0.0
2026-09-06T01:38:47.223488+00:00,game_running,100.0,28.0,9678.0,10240.0,0.0,0.0
2026-09-06T01:38:48.342775+00:00,game_running,99.0,28.0,9677.0,10240.0,0.0,0.0
2026-09-06T01:38:49.462416+00:00,game_running,100.0,27.0,9674.0,10240.0,0.0,0.0
2026-09-06T01:38:50.582538+00:00,game_running,99.0,28.0,9678.0,10240.0,0.0,0.0
2026-09-06T01:38:51.703323+00:00,game_running,99.0,27.0,9678.0,10240.0,0.0,0.0
2026-09-06T01:38:52.824494+00:00,game_running,99.0,27.0,9692.0,10240.0,0.0,0.0
2026-09-06T01:38:53.943642+00:00,game_running,100.0,29.0,9660.0,10240.0,0.0,0.0
2026-09-06T01:38:55.065502+00:00,game_running,100.0,30.0,9660.0,10240.0,0.0,0.0
2026-09-06T01:38:56.184290+00:00,game_running,100.0,30.0,9660.0,10240.0,0.0,0.0
2026-09-06T01:38:57.305959+00:00,game_running,100.0,30.0,9660.0,10240.0,0.0,0.0
2026-09-06T01:38:58.442534+00:00,game_running,99.0,29.0,9660.0,10240.0,0.0,0.0
