import time: self [us] | cumulative | imported package
import time:       895 |        895 |     torch.distributions.studentT
import time:      1539 |       1539 |           torch.jit._builtins
import time:      1011 |       1011 |           torch.distributed.autograd
import time:      1995 |       4545 |         torch.jit._async
import time:       777 |        777 |         torch.jit._await
import time:       727 |        727 |         torch.jit._decomposition_utils
import time:       779 |        779 |             torch._classes
import time:       826 |        826 |             torch.jit._fuser
import time:       497 |        497 |               monkeytype
import time:       830 |       1326 |             torch.jit._monkeytype_config
import time:       773 |        773 |               torch.jit._check
import time:      1981 |       1981 |               torch.jit._state
import time:      1127 |       1127 |                 torch.jit.annotations
import time:       920 |        920 |                 torch.jit._dataclass_impls
import time:      1145 |       1145 |                     six
import time:        51 |       1196 |                   six.moves
import time:      4635 |       4635 |                   astunparse.unparser
import time:       754 |        754 |                   astunparse.printer
import time:      1089 |       7672 |                 astunparse
import time:      1937 |      11655 |               torch.jit.frontend
import time:      1398 |      15806 |             torch.jit._recursive
import time:       866 |        866 |             torch.jit._serialization
import time:      1939 |      21540 |           torch.jit._script
import time:      1018 |      22557 |         torch.jit._freeze
import time:       774 |        774 |         torch.jit._ir_utils
import time:      2045 |       2045 |         torch.jit._trace
import time:      1160 |      32583 |       torch.jit
import time:       880 |      33462 |     torch.distributions.von_mises
import time:       791 |        791 |     torch.distributions.weibull
import time:       835 |        835 |     torch.distributions.wishart
import time:      2221 |      78795 |   torch.distributions
import time:      1423 |       1423 |   torch.fft
import time:       600 |        600 |       _uuid
import time:       861 |       1461 |     uuid
import time:      1240 |       1240 |     zipfile
import time:       513 |        513 |       urllib.response
import time:       518 |       1030 |     urllib.error
import time:       621 |        621 |       email
import time:       932 |        932 |         http
import time:       659 |        659 |             email.errors
import time:       501 |        501 |                 email.quoprimime
import time:       465 |        465 |                 email.base64mime
import time:       542 |        542 |                     quopri
import time:       432 |        974 |                   email.encoders
import time:       483 |       1457 |                 email.charset
import time:       758 |       3179 |               email.header
import time:       723 |        723 |                   calendar
import time:       500 |       1223 |                 email._parseaddr
import time:       682 |       1904 |               email.utils
import time:       598 |       5680 |             email._policybase
import time:       784 |       7123 |           email.feedparser
import time:       655 |       7777 |         email.parser
import time:       578 |        578 |           email._encoded_words
import time:       485 |        485 |           email.iterators
import time:       848 |       1911 |         email.message
import time:      1236 |      11855 |       http.client
import time:       586 |        586 |       nturl2path
import time:      1499 |      14559 |     urllib.request
import time:       690 |        690 |       tqdm._monitor
import time:       474 |        474 |       tqdm._tqdm_pandas
import time:       687 |        687 |             unicodedata
import time:       643 |        643 |                   colorama.ansi
import time:       554 |        554 |                     colorama.win32
import time:       516 |       1070 |                   colorama.winterm
import time:       722 |       2434 |                 colorama.ansitowin32
import time:       582 |       3016 |               colorama.initialise
import time:       694 |       3710 |             colorama
import time:       946 |       5342 |           tqdm.utils
import time:       980 |       6322 |         tqdm.std
import time:        59 |         59 |               _csv
import time:       856 |        914 |             csv
import time:       437 |        437 |                 importlib.metadata._functools
import time:       492 |        928 |               importlib.metadata._text
import time:       621 |       1549 |             importlib.metadata._adapters
import time:       676 |        676 |             importlib.metadata._meta
import time:       593 |        593 |             importlib.metadata._collections
import time:       494 |        494 |             importlib.metadata._itertools
import time:       611 |        611 |                     importlib.resources.abc
import time:       650 |        650 |                     importlib.resources._adapters
import time:       683 |       1943 |                   importlib.resources._common
import time:       520 |        520 |                   importlib.resources._legacy
import time:       537 |       2999 |                 importlib.resources
import time:        17 |       3015 |               importlib.resources.abc
import time:       633 |       3648 |             importlib.abc
import time:      1384 |       9255 |           importlib.metadata
import time:      4620 |      13874 |         tqdm.version
import time:       809 |      21004 |       tqdm.cli
import time:       699 |        699 |       tqdm.gui
import time:       839 |      23705 |     tqdm
import time:      1257 |      43249 |   torch.hub
import time:      1591 |       1591 |   torch.linalg
import time:       826 |        826 |     torch.mps.profiler
import time:       667 |        667 |     torch.mps.event
import time:       898 |       2391 |   torch.mps
import time:       888 |        888 |     torch.mtia._utils
import time:      1022 |       1909 |   torch.mtia
import time:       684 |        684 |       multiprocessing.util
import time:      2989 |       2989 |       multiprocessing.resource_sharer
import time:      1028 |       4700 |     torch.multiprocessing.reductions
import time:     19029 |      19029 |         _multiprocessing
import time:       790 |      19818 |       multiprocessing.connection
import time:       721 |        721 |       concurrent.futures.thread
import time:      1125 |      21663 |     torch.multiprocessing.spawn
import time:       941 |      27304 |   torch.multiprocessing
import time:      1495 |       1495 |   torch.nested
import time:      2492 |       2492 |       torch.optim.optimizer
import time:      2363 |       4855 |     torch.optim.lr_scheduler
import time:      5170 |       5170 |     torch.optim.swa_utils
import time:      1536 |       1536 |     torch.optim._adafactor
import time:       782 |        782 |     torch.optim.adadelta
import time:       691 |        691 |     torch.optim.adagrad
import time:       991 |        991 |     torch.optim.adam
import time:       684 |        684 |     torch.optim.adamax
import time:       875 |        875 |     torch.optim.adamw
import time:       779 |        779 |     torch.optim.asgd
import time:       732 |        732 |     torch.optim.lbfgs
import time:      2649 |       2649 |     torch.optim.nadam
import time:      1559 |       1559 |     torch.optim.radam
import time:      1435 |       1435 |     torch.optim.rmsprop
import time:      1443 |       1443 |     torch.optim.rprop
import time:      1368 |       1368 |     torch.optim.sgd
import time:       984 |        984 |       torch.optim._functional
import time:       974 |       1957 |     torch.optim.sparse_adam
import time:      1137 |      28635 |   torch.optim
import time:       802 |        802 |       gzip
import time:      2231 |       2231 |         torch.profiler._utils
import time:      4234 |       6465 |       torch.profiler._memory_profiler
import time:      1910 |       9176 |     torch.profiler.profiler
import time:       862 |        862 |     torch.profiler.itt
import time:       927 |      10965 |   torch.profiler
import time:      1149 |       1149 |   torch.special
import time:       795 |        795 |     torch.xpu._utils
import time:       894 |        894 |     torch.xpu.streams
import time:       932 |        932 |     torch.xpu.memory
import time:       866 |        866 |     torch.xpu.random
import time:      1550 |       5035 |   torch.xpu
import time:      2275 |       2275 |       torch.signal.windows.windows
import time:       821 |       3096 |     torch.signal.windows
import time:       668 |       3763 |   torch.signal
import time:       848 |        848 |   torch.ao
import time:       927 |        927 |       torch.ao.nn
import time:      1379 |       1379 |         torch.ao.nn.intrinsic.modules.fused
import time:       997 |       2375 |       torch.ao.nn.intrinsic.modules
import time:       941 |       4243 |     torch.ao.nn.intrinsic
import time:       826 |        826 |       torch.nn.intrinsic.modules.fused
import time:      1007 |       1833 |     torch.nn.intrinsic.modules
import time:      1291 |       1291 |                     torch.ao.nn.qat.modules.conv
import time:      1064 |       1064 |                     torch.ao.nn.qat.modules.embedding_ops
import time:       929 |        929 |                     torch.ao.nn.qat.modules.linear
import time:       853 |       4136 |                   torch.ao.nn.qat.modules
import time:       743 |       4879 |                 torch.ao.nn.qat
import time:      1693 |       6572 |               torch.ao.nn.intrinsic.qat.modules.conv_fused
import time:      1053 |       1053 |               torch.ao.nn.intrinsic.qat.modules.linear_fused
import time:       777 |        777 |               torch.ao.nn.intrinsic.qat.modules.linear_relu
import time:      1263 |       9664 |             torch.ao.nn.intrinsic.qat.modules
import time:       701 |      10364 |           torch.ao.nn.intrinsic.qat
import time:       853 |      11217 |         torch.nn.intrinsic.qat.modules.conv_fused
import time:       610 |        610 |         torch.nn.intrinsic.qat.modules.linear_fused
import time:       474 |        474 |         torch.nn.intrinsic.qat.modules.linear_relu
import time:       992 |      13291 |       torch.nn.intrinsic.qat.modules
import time:       671 |      13962 |     torch.nn.intrinsic.qat
import time:      1351 |       1351 |                                 torch.ao.nn.quantizable.modules.activation
import time:      1494 |       1494 |                                 torch.ao.nn.quantizable.modules.rnn
import time:       733 |       3577 |                               torch.ao.nn.quantizable.modules
import time:       724 |       4300 |                             torch.ao.nn.quantizable
import time:      1457 |       1457 |                             torch.ao.nn.quantized.modules.activation
import time:       910 |        910 |                             torch.ao.nn.quantized.modules.batchnorm
import time:      1011 |       1011 |                               torch.ao.nn.quantized.modules.utils
import time:      1844 |       2855 |                             torch.ao.nn.quantized.modules.conv
import time:       615 |        615 |                             torch.ao.nn.quantized.modules.dropout
import time:       608 |        608 |                             torch.ao.nn.quantized.modules.embedding_ops
import time:      1361 |       1361 |                             torch.ao.nn.quantized.modules.functional_modules
import time:       801 |        801 |                             torch.ao.nn.quantized.modules.linear
import time:       556 |        556 |                             torch.ao.nn.quantized.modules.normalization
import time:       503 |        503 |                             torch.ao.nn.quantized.modules.rnn
import time:      1035 |      14996 |                           torch.ao.nn.quantized.modules
import time:        19 |      15015 |                         torch.ao.nn.quantized.modules.utils
import time:      1274 |      16288 |                       torch.ao.nn.quantized.functional
import time:       835 |      17123 |                     torch.ao.nn.quantized
import time:      1076 |      18198 |                   torch.ao.nn.intrinsic.quantized.modules.bn_relu
import time:       835 |        835 |                   torch.ao.nn.intrinsic.quantized.modules.conv_add
import time:       845 |        845 |                   torch.ao.nn.intrinsic.quantized.modules.conv_relu
import time:      1052 |       1052 |                   torch.ao.nn.intrinsic.quantized.modules.linear_relu
import time:       944 |      21873 |                 torch.ao.nn.intrinsic.quantized.modules
import time:       567 |      22440 |               torch.ao.nn.intrinsic.quantized
import time:      1237 |       1237 |                       torch.ao.nn.quantized.dynamic.modules.conv
import time:       667 |        667 |                       torch.ao.nn.quantized.dynamic.modules.linear
import time:      1508 |       1508 |                       torch.ao.nn.quantized.dynamic.modules.rnn
import time:      1055 |       4466 |                     torch.ao.nn.quantized.dynamic.modules
import time:       665 |       5130 |                   torch.ao.nn.quantized.dynamic
import time:       824 |       5954 |                 torch.ao.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:       722 |       6675 |               torch.ao.nn.intrinsic.quantized.dynamic.modules
import time:       696 |      29810 |             torch.ao.nn.intrinsic.quantized.dynamic
import time:       568 |      30377 |           torch.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:       663 |      31040 |         torch.nn.intrinsic.quantized.dynamic.modules
import time:       732 |      31772 |       torch.nn.intrinsic.quantized.dynamic
import time:       654 |        654 |         torch.nn.intrinsic.quantized.modules.bn_relu
import time:       494 |        494 |         torch.nn.intrinsic.quantized.modules.conv_relu
import time:       518 |        518 |         torch.nn.intrinsic.quantized.modules.linear_relu
import time:       817 |       2482 |       torch.nn.intrinsic.quantized.modules
import time:       625 |      34877 |     torch.nn.intrinsic.quantized
import time:       997 |      55910 |   torch.nn.intrinsic
import time:       872 |        872 |                   torch.ao.nn.qat.dynamic.modules.linear
import time:       714 |       1585 |                 torch.ao.nn.qat.dynamic.modules
import time:       636 |       2221 |               torch.ao.nn.qat.dynamic
import time:        13 |       2234 |             torch.ao.nn.qat.dynamic.modules
import time:        18 |       2251 |           torch.ao.nn.qat.dynamic.modules.linear
import time:       643 |       2893 |         torch.nn.qat.dynamic.modules.linear
import time:       754 |       3647 |       torch.nn.qat.dynamic.modules
import time:       722 |       4368 |     torch.nn.qat.dynamic
import time:       669 |        669 |       torch.nn.qat.modules.conv
import time:       683 |        683 |       torch.nn.qat.modules.embedding_ops
import time:       496 |        496 |       torch.nn.qat.modules.linear
import time:       940 |       2786 |     torch.nn.qat.modules
import time:       662 |       7816 |   torch.nn.qat
import time:       818 |        818 |     torch.nn.quantizable.modules
import time:       688 |       1505 |   torch.nn.quantizable
import time:       712 |        712 |     torch.nn.quantized.dynamic
import time:       506 |        506 |     torch.nn.quantized.functional
import time:       843 |        843 |     torch.nn.quantized.modules
import time:       844 |       2904 |   torch.nn.quantized
import time:       743 |        743 |   torch._size_docs
import time:       634 |        634 |   torch._storage_docs
import time:      1831 |       1831 |   torch._tensor_docs
import time:       869 |        869 |                 torch.ao.quantization.quant_type
import time:       791 |        791 |                     torch.fx._compatibility
import time:       784 |        784 |                         torch.fx.immutable_collections
import time:      1295 |       1295 |                         torch.fx.operator_schemas
import time:     11471 |      13548 |                       torch.fx.node
import time:      1139 |       1139 |                         torch.return_types
import time:      1438 |       2576 |                       torch.fx._pytree
import time:      3603 |      19727 |                     torch.fx.graph
import time:      1930 |      22447 |                   torch.fx.graph_module
import time:      1033 |       1033 |                     torch.fx._lazy_graph_module
import time:       950 |        950 |                       torch.utils._traceback
import time:       812 |        812 |                       torch.fx.traceback
import time:      2097 |       3858 |                     torch.fx.proxy
import time:      2555 |       7445 |                   torch.fx._symbolic_trace
import time:       515 |        515 |                     torch.fx.config
import time:      1750 |       2265 |                   torch.fx.interpreter
import time:      1853 |       1853 |                   torch.fx.subgraph_rewriter
import time:      1036 |      35044 |                 torch.fx
import time:      1362 |      37274 |               torch.ao.quantization.utils
import time:      1551 |      38824 |             torch.ao.quantization.observer
import time:      1085 |      39909 |           torch.ao.quantization.fake_quantize
import time:      1058 |       1058 |             torch.ao.quantization.fuser_method_mappings
import time:       835 |       1893 |           torch.ao.quantization.fuse_modules
import time:       617 |        617 |             torch.ao.quantization.pt2e
import time:       680 |        680 |                 torch.ao.ns
import time:       763 |       1443 |               torch.ao.ns.fx
import time:       987 |        987 |               torch.ao.ns.fx.ns_types
import time:      1337 |       3765 |             torch.ao.ns.fx.utils
import time:      2506 |       6888 |           torch.ao.quantization.pt2e._numeric_debugger
import time:       933 |        933 |           torch.ao.quantization.pt2e.export_utils
import time:      1704 |       1704 |           torch.ao.quantization.qconfig
import time:       894 |        894 |           torch.ao.quantization.qconfig_mapping
import time:      1062 |       1062 |                   torch.ao.nn.quantized.reference.modules.utils
import time:      1445 |       2507 |                 torch.ao.nn.quantized.reference.modules.conv
import time:       752 |        752 |                 torch.ao.nn.quantized.reference.modules.linear
import time:      1143 |       1143 |                 torch.ao.nn.quantized.reference.modules.rnn
import time:       616 |        616 |                 torch.ao.nn.quantized.reference.modules.sparse
import time:       928 |       5944 |               torch.ao.nn.quantized.reference.modules
import time:       605 |       6549 |             torch.ao.nn.quantized.reference
import time:      1417 |       1417 |                     torch.ao.nn.sparse.quantized.linear
import time:       607 |        607 |                     torch.ao.nn.sparse.quantized.utils
import time:       928 |       2951 |                   torch.ao.nn.sparse.quantized.dynamic.linear
import time:       678 |       3629 |                 torch.ao.nn.sparse.quantized.dynamic
import time:       752 |       4381 |               torch.ao.nn.sparse.quantized
import time:       605 |       4985 |             torch.ao.nn.sparse
import time:       703 |        703 |             torch.ao.quantization.stubs
import time:      1709 |      13945 |           torch.ao.quantization.quantization_mappings
import time:      1460 |       1460 |           torch.ao.quantization.quantize
import time:      1124 |       1124 |           torch.ao.quantization.quantize_jit
import time:      1199 |      69943 |         torch.ao.quantization
import time:        25 |      69968 |       torch.ao.quantization.fake_quantize
import time:       830 |      70797 |     torch.quantization.fake_quantize
import time:       684 |        684 |     torch.quantization.fuse_modules
import time:       631 |        631 |     torch.quantization.fuser_method_mappings
import time:       670 |        670 |     torch.quantization.observer
import time:       588 |        588 |     torch.quantization.qconfig
import time:       417 |        417 |     torch.quantization.quant_type
import time:       604 |        604 |     torch.quantization.quantization_mappings
import time:       632 |        632 |     torch.quantization.quantize
import time:       674 |        674 |     torch.quantization.quantize_jit
import time:       498 |        498 |     torch.quantization.stubs
import time:      1091 |      77283 |   torch.quantization
import time:      1001 |       1001 |   torch.quasirandom
import time:       699 |        699 |   torch.multiprocessing._atfork
import time:      1159 |       1159 |   torch._lobpcg
import time:      1121 |       1121 |       torch.masked._docs
import time:      1166 |       1166 |             torch.masked.maskedtensor.core
import time:      3832 |       4998 |           torch.masked.maskedtensor.binary
import time:      1393 |       1393 |           torch.masked.maskedtensor.passthrough
import time:       662 |        662 |             torch.masked.maskedtensor.creation
import time:      1506 |       2167 |           torch.masked.maskedtensor.reductions
import time:      3255 |       3255 |           torch.masked.maskedtensor.unary
import time:       970 |      12781 |         torch.masked.maskedtensor
import time:        22 |      12802 |       torch.masked.maskedtensor.core
import time:      1734 |      15657 |     torch.masked._ops
import time:       825 |      16482 |   torch.masked
import time:      1250 |       1250 |   torch.utils.dlpack
import time:       587 |        587 |                 torch._dispatch
import time:       686 |        686 |                       unittest.util
import time:       683 |       1369 |                     unittest.result
import time:       858 |        858 |                     unittest.case
import time:       565 |        565 |                     unittest.suite
import time:       873 |        873 |                     unittest.loader
import time:      1074 |       1074 |                         gettext
import time:      1109 |       2183 |                       argparse
import time:       466 |        466 |                         unittest.signals
import time:       600 |       1066 |                       unittest.runner
import time:       481 |       3728 |                     unittest.main
import time:       698 |       8090 |                   unittest
import time:       780 |        780 |                   pkgutil
import time:      1371 |      10240 |                 unittest.mock
import time:      1197 |      12024 |               torch._dispatch.python
import time:      1333 |       1333 |                 torch.utils.weak
import time:      4131 |       5463 |               torch._guards
import time:      1452 |       1452 |                             torch._logging.structured
import time:      2204 |       3655 |                           torch._logging._internal
import time:       975 |       4630 |                         torch._logging._registrations
import time:       793 |       5423 |                       torch._logging
import time:       935 |        935 |                       torch.utils._mode_utils
import time:      4024 |      10381 |                     torch._subclasses.meta_utils
import time:      2393 |       2393 |                     torch.utils._backport_slots
import time:       848 |        848 |                     torch.utils._stats
import time:       676 |        676 |                         torch.fx.experimental
import time:      2397 |       3072 |                       torch.fx.experimental.sym_node
import time:      2823 |       5895 |                     torch._subclasses._fake_tensor_utils
import time:       731 |        731 |                       torch._custom_op
import time:      4394 |       5125 |                     torch._subclasses.fake_impls
import time:      6256 |      30896 |                   torch._subclasses.fake_tensor
import time:       996 |        996 |                   torch._subclasses.fake_utils
import time:      1010 |      32902 |                 torch._subclasses
import time:        21 |      32923 |               torch._subclasses.meta_utils
import time:       997 |      51405 |             torch.fx.passes.shape_prop
import time:       443 |        443 |             pydot
import time:      1479 |      53325 |           torch.fx.passes.graph_drawer
import time:       899 |        899 |           torch.fx.passes.graph_manipulation
import time:      1655 |       1655 |                   torch.fx.passes.utils.matcher_utils
import time:      1024 |       2679 |                 torch.fx.passes.utils.common
import time:       578 |       3257 |               torch.fx.passes.utils
import time:      1486 |       1486 |               torch.fx.passes.tools_common
import time:      1410 |       6151 |             torch.fx.passes.split_utils
import time:      1669 |       7820 |           torch.fx.passes.net_min_base
import time:      1236 |       1236 |           torch.fx.passes.operator_support
import time:       835 |        835 |           torch.fx.passes.param_fetch
import time:      1962 |       1962 |           torch.fx.passes.reinplace
import time:       718 |        718 |             torch.fx._utils
import time:       771 |        771 |               torch.utils._thunk
import time:       704 |        704 |               torch.fx.experimental._backward_state
import time:      2717 |       4190 |             torch.fx.experimental.proxy_tensor
import time:       755 |       5662 |           torch.fx.passes.runtime_assert
import time:       907 |        907 |           torch.fx.passes.split_module
import time:      1280 |       1280 |           torch.fx.passes.splitter_base
import time:      1078 |      75000 |         torch.fx.passes
import time:       782 |        782 |           torch.fx.passes.infra.pass_base
import time:      1103 |       1885 |         torch.fx.passes.infra.pass_manager
import time:       565 |      77449 |       torch.fx.passes.infra
import time:        19 |      77468 |     torch.fx.passes.infra.pass_base
import time:       941 |        941 |                   torch._inductor
import time:      1297 |       1297 |                   torch.utils._config_module
import time:     17123 |      19360 |                 torch._inductor.config
import time:      3895 |      23254 |               torch._subclasses.functional_tensor
import time:      1575 |       1575 |               torch._higher_order_ops.utils
import time:      1641 |      26469 |             torch._higher_order_ops.cond
import time:      1863 |       1863 |             torch._higher_order_ops.flex_attention
import time:      1048 |       1048 |             torch._higher_order_ops.hints_wrap
import time:      1177 |       1177 |             torch._higher_order_ops.while_loop
import time:       713 |      31268 |           torch._higher_order_ops
import time:        21 |      31289 |         torch._higher_order_ops.utils
import time:       741 |        741 |             torch.export._tree_utils
import time:      3532 |       3532 |             torch.export.graph_signature
import time:      1140 |       1140 |                   torch._custom_op.autograd
import time:      1933 |       3073 |                 torch._custom_op.impl
import time:       794 |       3866 |               torch._custom_ops
import time:       922 |        922 |               torch._higher_order_ops.strict_mode
import time:      1020 |       5808 |             torch._export.wrappers
import time:      1480 |      11559 |           torch._export
import time:      1557 |      13115 |         torch._export.utils
import time:       874 |        874 |         torch._export.verifier
import time:      2366 |      47643 |       torch.export.exported_program
import time:      2850 |      50493 |     torch.export.dynamic_shapes
import time:       586 |        586 |               torch._functorch._aot_autograd
import time:       957 |       1543 |             torch._functorch._aot_autograd.utils
import time:       736 |       2279 |           torch._higher_order_ops.torchbind
import time:      1104 |       3382 |         torch._higher_order_ops.effects
import time:       723 |       4105 |       torch.export._remove_effect_tokens_pass
import time:      1572 |       5677 |     torch.export.unflatten
import time:      1584 |     135219 |   torch.export
import time:      1183 |       1183 |       torch.fx.experimental.const_fold
import time:      1503 |       2686 |     torch._functorch.eager_transforms
import time:      1016 |       1016 |     torch._functorch.functional_call
import time:       645 |        645 |     torch._functorch.batch_norm_replacement
import time:       774 |       5120 |   torch.func
import time:       946 |        946 |             torch.utils._content_store
import time:       781 |       1727 |           torch._prims.debug_prims
import time:      1136 |       1136 |           torch._prims.rng_prims
import time:      1202 |       1202 |           torch._prims_common.wrappers
import time:    333811 |     337875 |         torch._prims
import time:      1887 |       1887 |         torch._higher_order_ops.out_dtype
import time:     24235 |     363997 |       torch._decomp.decompositions
import time:      1737 |       1737 |         torch._refs._conversions
import time:      4156 |       4156 |         torch._refs.fft
import time:      1819 |       1819 |         torch._refs.linalg
import time:       724 |        724 |           torch._refs.nn
import time:      4771 |       5495 |         torch._refs.nn.functional
import time:      3567 |       3567 |         torch._refs.special
import time:     27031 |      43802 |       torch._refs
import time:      1379 |     409177 |     torch._decomp
import time:     83369 |     492546 |   torch._meta_registrations
import time:      5286 |       5286 |   torch.compiler
import time:   9424755 |   11174294 | torch
import time:       563 |        563 |         encodings.cp437
import time:       117 |        117 |         shibokensupport
import time:        83 |         83 |         shibokensupport.signature
import time:       730 |        730 |           shibokensupport.feature
import time:      2702 |       2702 |           shibokensupport.signature.mapping
import time:       732 |        732 |           shibokensupport.signature.errorhandler
import time:        74 |         74 |                 shibokensupport.signature.lib
import time:       436 |        510 |               shibokensupport.signature.lib.tool
import time:      5965 |       6474 |             shibokensupport.signature.parser
import time:      1613 |       8086 |           shibokensupport.signature.layout
import time:      1196 |       1196 |             PySide6.support
import time:       613 |        613 |             PySide6.support.deprecated
import time:       251 |       2059 |           shibokensupport.signature.importhandler
import time:      1696 |       1696 |           shibokensupport.signature.lib.enum_sig
import time:      9217 |       9217 |           shibokensupport.signature.lib.pyi_generator
import time:       687 |      25906 |         shibokensupport.signature.loader
import time:      4354 |      31022 |       shiboken6.Shiboken
import time:       742 |      31763 |     shiboken6
import time:      1393 |      33156 |   PySide6
import time:      8476 |       8476 |     PySide6.QtCore
import time:      3075 |      11551 |   PySide6.QtGui
import time:      4587 |      49293 | PySide6.QtWidgets
import time:    632844 |     632844 |       av._core
import time:     16489 |      16489 |       av.logging
import time:      1157 |       1157 |       av.about
import time:     17493 |      17493 |               av.buffer
import time:     14900 |      14900 |                     av.audio.format
import time:     14673 |      14673 |                         av.error
import time:     16671 |      31344 |                       av.dictionary
import time:     13567 |      13567 |                                     av.container.pyio
import time:       700 |        700 |                                         av.sidedata
import time:     16183 |      16183 |                                               av.option
import time:     13989 |      30171 |                                             av.descriptor
import time:     14966 |      45136 |                                           av.format
import time:     16551 |      16551 |                                           av.index
import time:      1800 |       1800 |                                                   _decimal
import time:       635 |       2435 |                                                 decimal
import time:      2054 |       4488 |                                               fractions
import time:     14753 |      19240 |                                             av.utils
import time:     16226 |      35466 |                                           av.stream
import time:     15203 |     112355 |                                         av.container.streams
import time:     15686 |      15686 |                                         av.sidedata.encparams
import time:     14974 |      14974 |                                         av.sidedata.motionvectors
import time:     15013 |     158725 |                                       av.sidedata.sidedata
import time:     14784 |      14784 |                                       av.opaque
import time:     14799 |     188307 |                                     av.packet
import time:     16284 |      16284 |                                     av.container.input
import time:     14552 |      14552 |                                     av.container.output
import time:     15865 |     248574 |                                   av.container.core
import time:       788 |     249361 |                                 av.container
import time:        24 |     249385 |                               av.container.pyio
import time:     16286 |     265671 |                             av.codec.context
import time:     14046 |      14046 |                             av.video.format
import time:     13943 |      13943 |                             av.video.reformatter
import time:     13902 |      13902 |                             av.plane
import time:     14937 |      14937 |                             av.video.plane
import time:     16664 |     339162 |                           av.video.frame
import time:     14613 |      14613 |                           av.video.stream
import time:       822 |     354597 |                         av.video
import time:        20 |     354616 |                       av.video.format
import time:     16629 |     402588 |                     av.codec.hwaccel
import time:     17764 |     435251 |                   av.codec.codec
import time:       851 |     436102 |                 av.codec
import time:        21 |     436122 |               av.codec.codec
import time:     17485 |     471099 |             av.frame
import time:     14169 |      14169 |             av.audio.layout
import time:     13030 |      13030 |             av.audio.plane
import time:     72710 |     571006 |           av.audio.frame
import time:     13935 |      13935 |           av.audio.stream
import time:       836 |     585776 |         av.audio
import time:     14627 |      14627 |                   av.filter.link
import time:     15654 |      30281 |                 av.filter.context
import time:     15001 |      45281 |               av.filter.graph
import time:     13698 |      58978 |             av.filter.filter
import time:     15042 |      15042 |             av.filter.loudnorm
import time:       833 |      74853 |           av.filter
import time:        24 |      74876 |         av.filter.filter
import time:     15738 |      15738 |         av.audio.resampler
import time:     13072 |     689460 |       av.audio.codeccontext
import time:     14980 |      14980 |       av.audio.fifo
import time:     15031 |      15031 |       av.bitstream
import time:     14776 |      14776 |       av.device
import time:     15334 |      15334 |       av.video.codeccontext
import time:     51931 |    1451998 |     av
import time:      1880 |    1453878 |   faster_whisper.audio
import time:       716 |        716 |           importlib.resources._itertools
import time:      9328 |      10044 |         importlib.resources.readers
import time:       736 |      10780 |       importlib.readers
import time:      2008 |       2008 |       ctranslate2._ext
import time:      1845 |       1845 |       ctranslate2.extensions
import time:       921 |        921 |       ctranslate2.logging
import time:      2541 |       2541 |                   ctranslate2.specs.model_spec
import time:      3063 |       5604 |                 ctranslate2.specs.common_spec
import time:      1031 |       6634 |               ctranslate2.specs.attention_spec
import time:       853 |        853 |               ctranslate2.specs.transformer_spec
import time:       541 |        541 |               ctranslate2.specs.wav2vec2_spec
import time:       543 |        543 |               ctranslate2.specs.wav2vec2bert_spec
import time:       528 |        528 |               ctranslate2.specs.whisper_spec
import time:      2492 |      11590 |             ctranslate2.specs
import time:        28 |      11618 |           ctranslate2.specs.model_spec
import time:      2017 |      13634 |         ctranslate2.converters.converter
import time:       560 |        560 |           ctranslate2.converters.utils
import time:       817 |       1377 |         ctranslate2.converters.fairseq
import time:       579 |        579 |             yaml.error
import time:       544 |        544 |             yaml.tokens
import time:       493 |        493 |             yaml.events
import time:       423 |        423 |             yaml.nodes
import time:      4647 |       4647 |               yaml.reader
import time:       809 |        809 |               yaml.scanner
import time:       630 |        630 |               yaml.parser
import time:       449 |        449 |               yaml.composer
import time:      1747 |       1747 |               yaml.constructor
import time:      1373 |       1373 |               yaml.resolver
import time:      2532 |      12184 |             yaml.loader
import time:       634 |        634 |               yaml.emitter
import time:       429 |        429 |               yaml.serializer
import time:       822 |        822 |               yaml.representer
import time:      1311 |       3194 |             yaml.dumper
import time:       880 |        880 |               yaml._yaml
import time:       563 |       1442 |             yaml.cyaml
import time:      2533 |      21389 |           yaml
import time:       960 |      22349 |         ctranslate2.converters.marian
import time:       592 |        592 |         ctranslate2.converters.openai_gpt2
import time:       624 |        624 |         ctranslate2.converters.opennmt_py
import time:      1041 |       1041 |         ctranslate2.converters.opennmt_tf
import time:       441 |        441 |         ctranslate2.converters.opus_mt
import time:      1176 |       1176 |           huggingface_hub
import time:       627 |        627 |               transformers.dependency_versions_table
import time:       869 |        869 |                   packaging
import time:       707 |        707 |                     packaging._structures
import time:      7187 |       7893 |                   packaging.version
import time:     73102 |      73102 |                           regex._regex
import time:     29369 |     102470 |                         regex._regex_core
import time:       193 |        193 |                         regex.DEFAULT_VERSION
import time:     27935 |     130597 |                       regex._main
import time:     23211 |     153807 |                     regex
import time:      5166 |       5166 |                     transformers.utils.doc
import time:       527 |        527 |                               httpx.__version__
import time:       754 |        754 |                                     httpx._exceptions
import time:      2709 |       2709 |                                       http.cookiejar
import time:       990 |        990 |                                           mimetypes
import time:      1100 |       1100 |                                           httpx._types
import time:      1121 |       1121 |                                           httpx._utils
