import time: self [us] | cumulative | imported package
import time:       443 |        443 |                     numpy.lib._ufunclike_impl
import time:       537 |        979 |                   numpy.lib._type_check_impl
import time:       506 |       1485 |                 numpy.lib._scimath_impl
import time:       433 |       1917 |               numpy.lib.scimath
import time:       534 |        534 |                 numpy.lib._stride_tricks_impl
import time:       442 |        975 |               numpy.lib.stride_tricks
import time:       550 |        550 |                       numpy.linalg.linalg
import time:        36 |         36 |                           _typing
import time:      2095 |       2131 |                         typing
import time:       730 |        730 |                         numpy.lib._twodim_base_impl
import time:       468 |        468 |                         numpy.linalg._umath_linalg
import time:       544 |        544 |                           __future__
import time:       591 |        591 |                           numpy._typing._nested_sequence
import time:       372 |        372 |                           numpy._typing._nbit
import time:       904 |        904 |                           numpy._typing._char_codes
import time:       483 |        483 |                           numpy._typing._scalars
import time:       400 |        400 |                           numpy._typing._shape
import time:      2150 |       2150 |                           numpy._typing._dtype_like
import time:      1408 |       1408 |                           numpy._typing._array_like
import time:       747 |       7596 |                         numpy._typing
import time:      1405 |      12327 |                       numpy.linalg._linalg
import time:       563 |      13439 |                     numpy.linalg
import time:       624 |      14063 |                   numpy.matrixlib.defmatrix
import time:       527 |      14589 |                 numpy.matrixlib
import time:       529 |        529 |                   numpy.lib._histograms_impl
import time:      1094 |       1623 |                 numpy.lib._function_base_impl
import time:       612 |      16822 |               numpy.lib._index_tricks_impl
import time:       629 |        629 |               numpy.lib._nanfunctions_impl
import time:       610 |        610 |               numpy.lib._shape_base_impl
import time:      1449 |       1449 |               numpy.lib._arraysetops_impl
import time:       854 |        854 |               numpy.lib._polynomial_impl
import time:       476 |        476 |               numpy.lib._arrayterator_impl
import time:       489 |        489 |               numpy.lib._arraypad_impl
import time:       431 |        431 |               numpy.lib._version
import time:       872 |      33131 |             numpy.lib
import time:       440 |        440 |             numpy._array_api_info
import time:      2311 |      70652 |           numpy
import time:        19 |      70670 |         numpy._core
import time:        29 |      70699 |       numpy._core._multiarray_umath
import time:    156191 |     226889 |     onnxruntime.capi.onnxruntime_pybind11_state
import time:       764 |     229573 |   onnxruntime.capi._pybind_state
import time:       575 |        575 |         token
import time:      1164 |       1738 |       tokenize
import time:       680 |       2418 |     linecache
import time:       810 |       3228 |   onnxruntime.capi.onnxruntime_validation
import time:       803 |        803 |   onnxruntime.capi.onnxruntime_inference_collection
import time:       113 |        113 |   onnxruntime.experimental
import time:       389 |        389 |   onnxruntime.capi.build_and_package_info
import time:      1240 |     235344 | onnxruntime
import time:       649 |        649 |   glob
import time:        40 |         40 |         _opcode
import time:       629 |        668 |       opcode
import time:       936 |       1603 |     dis
import time:      1402 |       3005 |   inspect
import time:      2172 |       2172 |   typing_extensions
import time:      1062 |       1062 |       traceback
import time:        37 |         37 |         _string
import time:       843 |        879 |       string
import time:      1500 |       3440 |     logging
import time:      1885 |       5325 |   torch._utils
import time:        42 |         42 |           _bisect
import time:       547 |        589 |         bisect
import time:        26 |         26 |         _random
import time:        20 |         20 |         _sha512
import time:       686 |       1319 |       random
import time:       664 |       1983 |     tempfile
import time:       616 |        616 |       torch._strobelight
import time:        44 |         44 |           gc
import time:       745 |        788 |         timeit
import time:       976 |       1764 |       torch._strobelight.cli_function_profiler
import time:       986 |       3365 |     torch._strobelight.compile_time_profiler
import time:       696 |       6043 |   torch._utils_internal
import time:       615 |        615 |         torch._vendor
import time:       700 |       1315 |       torch._vendor.packaging
import time:       935 |        935 |       torch._vendor.packaging._structures
import time:      3148 |       5397 |     torch._vendor.packaging.version
import time:       704 |        704 |     torch.version
import time:       857 |       6957 |   torch.torch_version
import time:      1535 |       1535 |   sysconfig
import time:    163181 |     163181 |   torch._C
import time:       585 |        585 |           org
import time:        31 |        615 |         org.python
import time:        23 |        638 |       org.python.core
import time:      1053 |       1690 |     copy
import time:      1151 |       1151 |     torch._namedtensor_internals
import time:      3285 |       3285 |     torch.overrides
import time:      3766 |       9892 |   torch._tensor
import time:      1364 |       1364 |     torch.types
import time:      5458 |       6821 |   torch.storage
import time:      1256 |       1256 |     torch.amp.autocast_mode
import time:      1064 |       1064 |     torch.amp.grad_scaler
import time:      1219 |       3538 |   torch.amp
import time:       970 |        970 |   torch.random
import time:        49 |         49 |         _heapq
import time:       658 |        707 |       heapq
import time:      1034 |       1740 |     difflib
import time:       411 |        411 |       pwd
import time:       334 |        334 |       grp
import time:      1325 |       2069 |     tarfile
import time:       977 |        977 |     torch._weights_only_unpickler
import time:       890 |        890 |     torch._sources
import time:      3353 |       9027 |   torch.serialization
import time:       947 |        947 |     dataclasses
import time:      1951 |       2897 |   torch._tensor_str
import time:      1098 |       1098 |     torch.cuda.gds
import time:       737 |        737 |     torch.cuda._utils
import time:      1177 |       1177 |     torch.cuda.graphs
import time:       682 |        682 |       torch._streambase
import time:       871 |       1553 |     torch.cuda.streams
import time:       496 |        496 |     pynvml
import time:        55 |         55 |               _json
import time:       633 |        688 |             json.scanner
import time:       700 |       1387 |           json.decoder
import time:       654 |        654 |           json.encoder
import time:       708 |       2747 |         json
import time:        64 |         64 |           binascii
import time:       634 |        698 |         base64
import time:      2172 |       5617 |       torch.cuda._memory_viz
import time:       562 |        562 |               concurrent
import time:       791 |        791 |               concurrent.futures._base
import time:       607 |       1959 |             concurrent.futures
import time:      1562 |       1562 |               _ssl
import time:      3160 |       4722 |             ssl
import time:       718 |        718 |             asyncio.constants
import time:       510 |        510 |             asyncio.coroutines
import time:       561 |        561 |               asyncio.format_helpers
import time:       550 |        550 |                 asyncio.base_futures
import time:       663 |        663 |                 asyncio.exceptions
import time:       524 |        524 |                 asyncio.base_tasks
import time:       902 |       2638 |               _asyncio
import time:       824 |       4022 |             asyncio.events
import time:       596 |        596 |             asyncio.futures
import time:       509 |        509 |             asyncio.protocols
import time:       563 |        563 |               asyncio.transports
import time:       390 |        390 |               asyncio.log
